Name,Date,Price,Phone info,Place,Category,Image,Link
No pajamas,2022-06-19,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
Hai la Film!,2022-06-19,Free admission,,Cinema Odeon,Movies,https://www.fest.md/files/events/160/image_16048_1_preview.jpg,https://www.fest.md/en/events/movies/hai-la-film
Velo Road Chisinau,2022-06-19,registration,,Primăria Municipiului Chișinău,Sports,https://www.fest.md/files/events/160/image_16049_1_preview.jpg,https://www.fest.md/en/events/sports/velo-road-chisinau
"""Came a man to a woman"" Performance",2022-06-19,70 - 150 mdl,022 223 362,"""A.P.Chekhov"" Theater",Performances,https://www.fest.md/files/events/72/image_7218_1_preview.jpg,https://www.fest.md/en/events/performances/came-a-man-to-a-woman-performance-1
"""Winnie Pooh Bear"" Performance 2+",2022-06-19,60 mdl,022 47-61-47 ; 022 47-72-55,"""Guguta"" Theatre",Performances,https://www.fest.md/files/events/49/image_4965_1_preview.jpg,https://www.fest.md/en/events/performances/winnie-pooh-bear-performance
"""38 parrots"" Performance",2022-06-19,50 - 100 mdl,022 223 362,"""A.P.Chekhov"" Theater",Performances,https://www.fest.md/files/events/45/image_4575_1_preview.jpg,https://www.fest.md/en/events/performances/38-parrots-performance
"""Ognivo"" Performance",2022-06-19,100 mdl,022 769855,"""From the Rose Street"" Theatre",Performances,https://www.fest.md/files/events/77/image_7708_1_preview.jpg,https://www.fest.md/en/events/performances/ognivo-performance
"""Joisarbatoare"" Performance",2022-06-19,50 - 120 mdl,,"""Mihai Eminescu"" Theater",Theatres,https://www.fest.md/files/events/132/image_13292_2_preview.jpg,https://www.fest.md/en/events/theatres/joisarbatoare-performance
SA LE SPUNEM PE NUME,2022-06-19,200 mdl,,"Theater ""Alexei Mateevici""",Theatres,https://www.fest.md/files/events/160/image_16037_1_preview.jpg,https://www.fest.md/en/events/theatres/sa-le-spunem-pe-nume
Three sisters,2022-06-19,200 - 250 mdl,022-22-65-20,"""Luceafarul"" Theater",Theatres,https://www.fest.md/files/events/159/image_15968_1_preview.jpg,https://www.fest.md/en/events/theatres/three-sisters
12 soapte in a 12-a noapte,2022-06-19,100 - 200 mdl,,Teatrul Fara Nume,Theatres,https://www.fest.md/files/events/146/image_14697_1_preview.jpg,https://www.fest.md/en/events/theatres/12-soapte-in-a-12-a-noapte
"Classical Music Festival ""DescOpera""",2022-06-19,75 - 900 lei,068 999 608 | 060 611 088,Orheiul Vechi (Butuceni),Concerts,https://www.fest.md/files/events/160/image_16002_1_preview.jpg,https://www.fest.md/en/events/concerts/classical-music-festival-descopera
"""Madame Bovary"" Performance",2022-06-19,250 - 300 lei,069 132 746,Geneza Art Theatre,Performances,https://www.fest.md/files/events/68/image_6891_3_preview.jpg,https://www.fest.md/en/events/performances/madame-bovary-performance
Dog,2022-06-19,100 mdl,068 500 504,Auto Cinema,Movies,https://www.fest.md/files/events/158/image_15844_1_preview.jpeg,https://www.fest.md/en/events/movies/dog
The Gentlemen,2022-06-19,100 mdl,068 500 504,Auto Cinema,Movies,https://www.fest.md/files/events/137/image_13767_1_preview.jpeg,https://www.fest.md/en/events/movies/the-gentlemen-movie
Circus - Childhood Universe,2022-06-19,150 - 250 mdl,022310007 / 022213544,Chisinau State Circus,Various,https://www.fest.md/files/events/159/image_15950_1_preview.jpg,https://www.fest.md/en/events/various/circus-childhood-universe
Production manager,2022-06-19,9999 mdl,060 889 089,,Conferences,https://www.fest.md/files/events/159/image_15909_1_preview.jpg,https://www.fest.md/en/events/conferences/production-manager
Sales manager,2022-06-19,9999 lei,068 889 089,,Conferences,https://www.fest.md/files/events/159/image_15910_1_preview.jpg,https://www.fest.md/en/events/conferences/sales-manager
MBA General,2022-06-19,35999 mdl,060 88 90 89 / + 373 (79) 30-30-00,Online,Conferences,https://www.fest.md/files/events/153/image_15376_1_preview.jpg,https://www.fest.md/en/events/conferences/mba-general
Mini-MBA,2022-06-19,11999 mdl,+ 373 (79) 30-30-00,Online,Conferences,https://www.fest.md/files/events/153/image_15378_1_preview.jpg,https://www.fest.md/en/events/conferences/mini-mba
MBA Intensive,2022-06-19,19999 lei,060 88 90 89 / + 373 (79) 30-30-00,Online,Concerts,https://www.fest.md/files/events/153/image_15377_1_preview.jpg,https://www.fest.md/en/events/concerts/mba-intensive
Personal effectiveness and management skills,2022-06-19,4599 lei,+ 373 (79) 30-30-00 060 889 089,Online,Conferences,https://www.fest.md/files/events/153/image_15381_1_preview.png,https://www.fest.md/en/events/conferences/personal-effectiveness-and-management-skills
Scuarul Alexei Sciusev-Concurs de Proiecte,2022-06-19,,,National Museum of History of Moldova,Exhibitions,https://www.fest.md/files/events/160/image_16013_1_preview.png,https://www.fest.md/en/events/exhibitions/scuarul-alexei-sciusev-concurs-de-proiecte
Course: Speech and Oratory (for children),2022-06-19,700 mdl,060 889 089,"str. București, 23A 213",Conferences,https://www.fest.md/files/events/159/image_15953_1_preview.jpg,https://www.fest.md/en/events/conferences/course-speech-and-oratory-for-children
Course: Speech Art and Oratory Art,2022-06-19,2400 lei,060 889 089,"str. București, 23A 213",Conferences,https://www.fest.md/files/events/159/image_15954_1_preview.jpg,https://www.fest.md/en/events/conferences/course-speech-art-and-oratory-art
"Course: Actor's Art, Body Expression, Speech Art",2022-06-19,2400 lei,060 889 089,"str. București, 23A 213",Conferences,https://www.fest.md/files/events/159/image_15955_1_preview.jpg,https://www.fest.md/en/events/conferences/course-actors-art-body-expression-speech-art
Golf training,2022-06-19,800 – 17900 mdl,060 889 089,Chetrosu,Sports,https://www.fest.md/files/events/159/image_15913_2_preview.jpg,https://www.fest.md/en/events/sports/golf-training
Business coaching session with Pavel Sidorenko,2022-06-19,999 - 1999 lei,,,Conferences,https://www.fest.md/files/events/159/image_15907_1_preview.jpg,https://www.fest.md/en/events/conferences/business-coaching-session-with-pavel-sidorenko
Casa Mare,2022-06-19,,(022) 240-056,National Museum of Ethnography and Natural History,Exhibitions,https://www.fest.md/files/events/152/image_15225_1_preview.jpg,https://www.fest.md/en/events/exhibitions/casa-mare
The exhibition of the Public transport museum,2022-06-19,Free admission,022 204 206,,Exhibitions,https://www.fest.md/files/events/152/image_15213_1_preview.jpg,https://www.fest.md/en/events/exhibitions/the-exhibition-of-the-public-transport-museum
Gallery of the Petru Costin collections,2022-06-19,40 mdl,0692 94 556,Gallery of Petru Costin collections,Exhibitions,https://www.fest.md/files/events/149/image_14943_1_preview.jpg,https://www.fest.md/en/events/exhibitions/gallery-of-the-petru-costin-collections
"Photo exhibition ""The sacred space of the village""",2022-06-19,,(022) 244-002,National Museum of Ethnography and Natural History,Exhibitions,https://www.fest.md/files/events/141/image_14118_1_preview.jpg,https://www.fest.md/en/events/exhibitions/photo-exhibition-the-sacred-space-of-the-village
Botanical Garden and Vivarium,2022-06-19,,,National Museum of Ethnography and Natural History,Exhibitions,https://www.fest.md/files/events/105/image_10530_13_preview.jpg,https://www.fest.md/en/events/exhibitions/botanical-garden-and-vivarium
Treasures of the past,2022-06-19,,022 24-04-26,National Museum of History of Moldova,Exhibitions,https://www.fest.md/files/events/58/image_5867_1_preview.jpg,https://www.fest.md/en/events/exhibitions/treasures-of-the-past
History and Civilization,2022-06-19,2 / 5 / 10 mdl,022 24-04-26,National Museum of History of Moldova,Exhibitions,https://www.fest.md/files/events/55/image_5501_1_preview.jpg,https://www.fest.md/en/events/exhibitions/history-and-civilization
Soviet Moldova: Between Myths and Gulag,2022-06-19,2 / 5 / 10 mdl,022 24-04-26,National Museum of History of Moldova,Exhibitions,https://www.fest.md/files/events/55/image_5503_4_preview.jpg,https://www.fest.md/en/events/exhibitions/soviet-moldova-between-myths-and-gulag
"Diorama ""Iasi-Chisinau Operation. 1944""",2022-06-19,2 / 5 / 10 mdl,022 24-04-26,National Museum of History of Moldova,Exhibitions,https://www.fest.md/files/events/55/image_5502_1_preview.jpg,https://www.fest.md/en/events/exhibitions/diorama-iasi-chisinau-operation-1944
"""Nature. Human. Culture"" Exhibition",2022-06-19,,,National Museum of Ethnography and Natural History,Exhibitions,https://www.fest.md/files/events/image_124_1_preview.jpg,https://www.fest.md/en/events/exhibitions/exhibition-nature-human-culture
No pajamas,2022-06-20,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
Hai la Film!,2022-06-20,Free admission,,Cinema Odeon,Movies,https://www.fest.md/files/events/160/image_16048_1_preview.jpg,https://www.fest.md/en/events/movies/hai-la-film
No pajamas,2022-06-21,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
Hai la Film!,2022-06-21,Free admission,,Cinema Odeon,Movies,https://www.fest.md/files/events/160/image_16048_1_preview.jpg,https://www.fest.md/en/events/movies/hai-la-film
Velo Road Chisinau,2022-06-21,registration,,Primăria Municipiului Chișinău,Sports,https://www.fest.md/files/events/160/image_16049_1_preview.jpg,https://www.fest.md/en/events/sports/velo-road-chisinau
"""Came a man to a woman"" Performance",2022-06-21,70 - 150 mdl,022 223 362,"""A.P.Chekhov"" Theater",Performances,https://www.fest.md/files/events/72/image_7218_1_preview.jpg,https://www.fest.md/en/events/performances/came-a-man-to-a-woman-performance-1
No pajamas,2022-06-22,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-06-23,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
Hai la Film!,2022-06-23,Free admission,,Cinema Odeon,Movies,https://www.fest.md/files/events/160/image_16048_1_preview.jpg,https://www.fest.md/en/events/movies/hai-la-film
Velo Road Chisinau,2022-06-23,registration,,Primăria Municipiului Chișinău,Sports,https://www.fest.md/files/events/160/image_16049_1_preview.jpg,https://www.fest.md/en/events/sports/velo-road-chisinau
"""Came a man to a woman"" Performance",2022-06-23,70 - 150 mdl,022 223 362,"""A.P.Chekhov"" Theater",Performances,https://www.fest.md/files/events/72/image_7218_1_preview.jpg,https://www.fest.md/en/events/performances/came-a-man-to-a-woman-performance-1
No pajamas,2022-06-24,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
Hai la Film!,2022-06-24,Free admission,,Cinema Odeon,Movies,https://www.fest.md/files/events/160/image_16048_1_preview.jpg,https://www.fest.md/en/events/movies/hai-la-film
Velo Road Chisinau,2022-06-24,registration,,Primăria Municipiului Chișinău,Sports,https://www.fest.md/files/events/160/image_16049_1_preview.jpg,https://www.fest.md/en/events/sports/velo-road-chisinau
"""Came a man to a woman"" Performance",2022-06-24,70 - 150 mdl,022 223 362,"""A.P.Chekhov"" Theater",Performances,https://www.fest.md/files/events/72/image_7218_1_preview.jpg,https://www.fest.md/en/events/performances/came-a-man-to-a-woman-performance-1
"""Winnie Pooh Bear"" Performance 2+",2022-06-24,60 mdl,022 47-61-47 ; 022 47-72-55,"""Guguta"" Theatre",Performances,https://www.fest.md/files/events/49/image_4965_1_preview.jpg,https://www.fest.md/en/events/performances/winnie-pooh-bear-performance
"""38 parrots"" Performance",2022-06-24,50 - 100 mdl,022 223 362,"""A.P.Chekhov"" Theater",Performances,https://www.fest.md/files/events/45/image_4575_1_preview.jpg,https://www.fest.md/en/events/performances/38-parrots-performance
No pajamas,2022-06-25,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
Hai la Film!,2022-06-25,Free admission,,Cinema Odeon,Movies,https://www.fest.md/files/events/160/image_16048_1_preview.jpg,https://www.fest.md/en/events/movies/hai-la-film
Velo Road Chisinau,2022-06-25,registration,,Primăria Municipiului Chișinău,Sports,https://www.fest.md/files/events/160/image_16049_1_preview.jpg,https://www.fest.md/en/events/sports/velo-road-chisinau
"""Came a man to a woman"" Performance",2022-06-25,70 - 150 mdl,022 223 362,"""A.P.Chekhov"" Theater",Performances,https://www.fest.md/files/events/72/image_7218_1_preview.jpg,https://www.fest.md/en/events/performances/came-a-man-to-a-woman-performance-1
"""Winnie Pooh Bear"" Performance 2+",2022-06-25,60 mdl,022 47-61-47 ; 022 47-72-55,"""Guguta"" Theatre",Performances,https://www.fest.md/files/events/49/image_4965_1_preview.jpg,https://www.fest.md/en/events/performances/winnie-pooh-bear-performance
"""38 parrots"" Performance",2022-06-25,50 - 100 mdl,022 223 362,"""A.P.Chekhov"" Theater",Performances,https://www.fest.md/files/events/45/image_4575_1_preview.jpg,https://www.fest.md/en/events/performances/38-parrots-performance
"""Ognivo"" Performance",2022-06-25,100 mdl,022 769855,"""From the Rose Street"" Theatre",Performances,https://www.fest.md/files/events/77/image_7708_1_preview.jpg,https://www.fest.md/en/events/performances/ognivo-performance
"""Joisarbatoare"" Performance",2022-06-25,50 - 120 mdl,,"""Mihai Eminescu"" Theater",Theatres,https://www.fest.md/files/events/132/image_13292_2_preview.jpg,https://www.fest.md/en/events/theatres/joisarbatoare-performance
SA LE SPUNEM PE NUME,2022-06-25,200 mdl,,"Theater ""Alexei Mateevici""",Theatres,https://www.fest.md/files/events/160/image_16037_1_preview.jpg,https://www.fest.md/en/events/theatres/sa-le-spunem-pe-nume
Three sisters,2022-06-25,200 - 250 mdl,022-22-65-20,"""Luceafarul"" Theater",Theatres,https://www.fest.md/files/events/159/image_15968_1_preview.jpg,https://www.fest.md/en/events/theatres/three-sisters
12 soapte in a 12-a noapte,2022-06-25,100 - 200 mdl,,Teatrul Fara Nume,Theatres,https://www.fest.md/files/events/146/image_14697_1_preview.jpg,https://www.fest.md/en/events/theatres/12-soapte-in-a-12-a-noapte
"Classical Music Festival ""DescOpera""",2022-06-25,75 - 900 lei,068 999 608 | 060 611 088,Orheiul Vechi (Butuceni),Concerts,https://www.fest.md/files/events/160/image_16002_1_preview.jpg,https://www.fest.md/en/events/concerts/classical-music-festival-descopera
No pajamas,2022-06-26,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
Hai la Film!,2022-06-26,Free admission,,Cinema Odeon,Movies,https://www.fest.md/files/events/160/image_16048_1_preview.jpg,https://www.fest.md/en/events/movies/hai-la-film
Velo Road Chisinau,2022-06-26,registration,,Primăria Municipiului Chișinău,Sports,https://www.fest.md/files/events/160/image_16049_1_preview.jpg,https://www.fest.md/en/events/sports/velo-road-chisinau
"""Came a man to a woman"" Performance",2022-06-26,70 - 150 mdl,022 223 362,"""A.P.Chekhov"" Theater",Performances,https://www.fest.md/files/events/72/image_7218_1_preview.jpg,https://www.fest.md/en/events/performances/came-a-man-to-a-woman-performance-1
"""Winnie Pooh Bear"" Performance 2+",2022-06-26,60 mdl,022 47-61-47 ; 022 47-72-55,"""Guguta"" Theatre",Performances,https://www.fest.md/files/events/49/image_4965_1_preview.jpg,https://www.fest.md/en/events/performances/winnie-pooh-bear-performance
"""38 parrots"" Performance",2022-06-26,50 - 100 mdl,022 223 362,"""A.P.Chekhov"" Theater",Performances,https://www.fest.md/files/events/45/image_4575_1_preview.jpg,https://www.fest.md/en/events/performances/38-parrots-performance
"""Ognivo"" Performance",2022-06-26,100 mdl,022 769855,"""From the Rose Street"" Theatre",Performances,https://www.fest.md/files/events/77/image_7708_1_preview.jpg,https://www.fest.md/en/events/performances/ognivo-performance
"""Joisarbatoare"" Performance",2022-06-26,50 - 120 mdl,,"""Mihai Eminescu"" Theater",Theatres,https://www.fest.md/files/events/132/image_13292_2_preview.jpg,https://www.fest.md/en/events/theatres/joisarbatoare-performance
SA LE SPUNEM PE NUME,2022-06-26,200 mdl,,"Theater ""Alexei Mateevici""",Theatres,https://www.fest.md/files/events/160/image_16037_1_preview.jpg,https://www.fest.md/en/events/theatres/sa-le-spunem-pe-nume
Three sisters,2022-06-26,200 - 250 mdl,022-22-65-20,"""Luceafarul"" Theater",Theatres,https://www.fest.md/files/events/159/image_15968_1_preview.jpg,https://www.fest.md/en/events/theatres/three-sisters
12 soapte in a 12-a noapte,2022-06-26,100 - 200 mdl,,Teatrul Fara Nume,Theatres,https://www.fest.md/files/events/146/image_14697_1_preview.jpg,https://www.fest.md/en/events/theatres/12-soapte-in-a-12-a-noapte
No pajamas,2022-06-27,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-06-28,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-06-29,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-06-30,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
Hai la Film!,2022-06-30,Free admission,,Cinema Odeon,Movies,https://www.fest.md/files/events/160/image_16048_1_preview.jpg,https://www.fest.md/en/events/movies/hai-la-film
Velo Road Chisinau,2022-06-30,registration,,Primăria Municipiului Chișinău,Sports,https://www.fest.md/files/events/160/image_16049_1_preview.jpg,https://www.fest.md/en/events/sports/velo-road-chisinau
No pajamas,2022-07-02,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
Hai la Film!,2022-07-02,Free admission,,Cinema Odeon,Movies,https://www.fest.md/files/events/160/image_16048_1_preview.jpg,https://www.fest.md/en/events/movies/hai-la-film
No pajamas,2022-07-05,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-07-06,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-07-08,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-07-09,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-07-31,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-08-03,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-08-06,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-08-08,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
Hai la Film!,2022-08-08,Free admission,,Cinema Odeon,Movies,https://www.fest.md/files/events/160/image_16048_1_preview.jpg,https://www.fest.md/en/events/movies/hai-la-film
No pajamas,2022-08-12,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-08-13,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-08-14,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-08-18,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-08-19,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-08-27,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-08-28,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-09-03,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-09-07,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-09-24,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-09-25,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-10-22,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
